state,yr,qtr,index_nsa,index_sa
AK,1991,1,100,100
AK,1991,2,100.79,100.08
AK,1991,3,102.08,101.32
AK,1991,4,102.24,102.23
AK,1992,1,102.75,102.69
AK,1992,2,104.26,103.52
AK,1992,3,105.07,104.28
AK,1992,4,104.37,104.47
AK,1993,1,104.77,104.59
AK,1993,2,107.2,106.42
AK,1993,3,108.33,107.56
AK,1993,4,110.37,110.57
AK,1994,1,111.25,110.95
AK,1994,2,112,111.12
AK,1994,3,112.52,111.82
AK,1994,4,111.22,111.46
AK,1995,1,114.5,114.15
AK,1995,2,116.28,115.27
AK,1995,3,117.65,117
AK,1995,4,117.4,117.65
AK,1996,1,120.78,120.47
AK,1996,2,121.43,120.29
AK,1996,3,120.46,119.78
AK,1996,4,123.14,123.42
AK,1997,1,122.46,122.32
AK,1997,2,124.92,123.63
AK,1997,3,125.18,124.35
AK,1997,4,125.93,126.25
AK,1998,1,126.15,126.24
AK,1998,2,129.6,128.14
AK,1998,3,130.16,129.14
AK,1998,4,130.84,131.19
AK,1999,1,131.91,132.26
AK,1999,2,134.15,132.57
AK,1999,3,134.95,133.66
AK,1999,4,131.38,131.83
AK,2000,1,132.59,133.08
AK,2000,2,136.83,135.22
AK,2000,3,138.33,136.82
AK,2000,4,136.76,137.29
AK,2001,1,140.04,140.59
AK,2001,2,144.78,143.17
AK,2001,3,146.79,145.07
AK,2001,4,148.56,149.15
AK,2002,1,148.86,149.43
AK,2002,2,153.83,152.21
AK,2002,3,158.03,156.17
AK,2002,4,157.12,157.61
AK,2003,1,160.2,160.87
AK,2003,2,164.81,163.15
AK,2003,3,167.48,165.49
AK,2003,4,170.76,171.21
AK,2004,1,174.54,175.37
AK,2004,2,179.03,177.16
AK,2004,3,185.53,183.37
AK,2004,4,187.46,187.83
AK,2005,1,191.29,192.49
AK,2005,2,199.34,196.98
AK,2005,3,206.06,203.77
AK,2005,4,207.29,207.6
AK,2006,1,211.19,212.74
AK,2006,2,218.72,215.9
AK,2006,3,220.3,217.99
