Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
1,2005,,,,,,,,,,,,,,,,,,,1.773,1.906,5829.6,7650.2,8490.6,9642.4,14881.8,,,,
2,2005,,,,,,,,,,,,,,,,,,,1.841,1.958,5836.2,7670.7,8487.9,9653.2,14908.3,,,,
3,2005,,,,,,,,,,,,,,,,,,,2.008,2.148,5833.8,7668.7,8483.6,9670.8,14929.3,,,,
4,2005,,,,,,,,,,,,,,,,,,,2.169,2.226,5857.5,7716.4,8518.6,9715.1,14979.4,,,,
5,2005,,,,,,,,,,,,,,,,,,,2.088,2.15,5855.4,7753,8509.9,9727.1,14985.4,,,,
6,2005,,,,,,,,,,,,,,,,,,,2.101,2.256,5841,7761.6,8515.9,9734,15000.9,,,,
7,2005,,,,,,,,,,,,,,,,,,,2.227,2.314,5874.9,7813,8533.1,9796.7,15066.5,,,,
8,2005,,,,,,,,,,,,,,,,,,,2.446,2.421,5879.7,7839.5,8544,9812.5,15097.6,,,,
9,2005,,,,,,,,,,,,,,,,,,,2.843,2.766,5884.4,7874.1,8552,9841.1,15136.4,,,,
10,2005,,,,,,,,,,,,,,,,,,,2.72,3.107,5880,7873.4,8526.8,9853.4,15148,,,,
11,2005,,,,,,,,,,,,,,,,,,,2.205,2.553,5887.8,7880.5,8544.4,9903.2,15189.3,,,,
12,2005,,,,,,,,,,,,,,,,,,,2.161,2.424,5889.2,7903.5,8560.6,9925.6,15214.7,,,,
1,2006,,,,,,,,,,,,,,,,,,,2.289,2.434,5901.5,7913.2,8561,9963.1,15214.6,,,,
2,2006,,,,,,,,,,,,,,,,,,,2.215,2.445,5914.7,7924.9,8562.4,9982.1,15248.9,,,,
3,2006,,,,,,,,,,,,,,,,,,,2.393,2.519,5921.3,7952.1,8579.5,10017.9,15259,,,,
4,2006,,,,,,,,,,,,,,,,,,,2.774,2.681,5921.1,7958.9,8588.3,10031.9,15270.6,,,,
5,2006,,,,,,,,,,,,,,,,,,,2.86,2.815,5920.7,7977.2,8592,10058.2,15311.7,,,,
6,2006,,,,,,,,,,,,,,,,,,,2.825,2.834,5938.3,7993.7,8601,10087.1,15342.9,,,,
7,2006,,,,,,,,,,,,,,,,,,,2.906,2.88,5935.8,7997.4,8600,10092.2,15345.3,,,,
8,2006,,,,,,,,,,,,,,,,,,,2.868,2.952,5944.5,8017.5,8603.9,10137.6,15374,,,,
9,2006,,,,,,,,,,,,,,,,,722.09,1513.37,2.443,2.701,5945.9,8023,8616.4,10172.8,15385.5,,,,
10,2006,,,,,,,,,,,,,,,,,764.03,1597.47,2.149,2.467,5937.9,8017.3,8626.3,10184.7,15379.8,,,,
11,2006,,,,,,,,,,,,,,,,,851.52,1739.42,2.137,2.47,5941.5,8021.2,8644.3,10214,15383,,,,
12,2006,,,,,,,,,,,,,,,,,909.4,1687.59,2.231,2.528,5951.2,8031.8,8666.6,10248.9,15392.9,,,,
1,2007,,127.6,110.2,95.689,184.549,202.416,208.009,10.268,137.477,4.5,4.6,9413,4008,17379,136964,1305.04,874.02,1743.6,2.143,2.412,5966.3,8044,8686.2,10266.6,15408.6,1433.71,3731.72,982.7,307.1
2,2007,,130,111.2,96.005,185.37,203.499,209.112,10.306,137.558,4.4,4.5,10308,5413,20448,139508,1799.86,786.32,1632.24,2.16,2.417,5956.6,8045.3,8686,10304,15434.1,1455.88,3097.03,942.0,305.6
3,2007,,129.8,108.2,96.34,186.417,205.352,209.923,10.345,137.793,4.4,4.4,12441,3974,26279,143323,1634.04,779.72,1569.57,2.434,2.629,5976.5,8054.7,8696.6,10345.6,15469,1668.14,3367.99,898.2,311.0
4,2007,,127.8,106.3,96.527,187.804,206.686,210.311,10.37,137.842,4.3,4.5,11084,2438,25294,144986,1819.68,840.92,1720.74,2.761,2.801,5974.7,8038.1,8686.8,10372.5,15425.2,1703.75,3875.43,987.9,376.7
5,2007,,132.9,108.5,96.798,188.557,207.949,210.316,10.396,137.993,4.3,4.4,11531,4926,29497,147725,1451.1,860.59,1793.19,3.016,2.745,5982.9,8031.4,8705.9,10397.7,15444,1712.18,3782.04,1003.1,253.6
6,2007,,125.1,105.3,96.997,189.031,208.352,210.474,10.433,138.069,4.3,4.6,10260,6117,29714,153398,2297.61,794.8,1629.43,2.973,2.756,5986,8025,8721.1,10433.2,15462.1,1730.19,4222.67,1022.8,333.5
7,2007,,131.5,111.9,97.141,189.21,208.299,210.756,10.452,138.038,4.3,4.7,9987,5841,28516,150659,1368.78,804.44,1678.01,2.897,2.799,5983.6,7996.4,8722.8,10453.6,15506,2036.21,4194.30,998.2,332.9
