year,state,state_twoltr,median_hp
2011,California,CA,274662.371
2012,California,CA,295252.6018
2013,California,CA,361030.1213
2014,California,CA,392947.2814
2015,California,CA,413380.8063
2016,California,CA,439949.5584
2017,California,CA,486925.3254
2018,California,CA,529729.2768
2019,California,CA,538160.816
2020,California,CA,586704.5464
2021,California,CA,680179.9716
2022,California,CA,719817.9868
2011,Texas,TX,129494.28
2012,Texas,TX,132967.6583
2013,Texas,TX,142222.7329
2014,Texas,TX,153668.8281
2015,Texas,TX,167124.5772
2016,Texas,TX,178625.6449
2017,Texas,TX,189770.8063
2018,Texas,TX,201027.2837
2019,Texas,TX,209415.3663
2020,Texas,TX,225770.796
2021,Texas,TX,265902.2382
2022,Texas,TX,297312.8525
2011,Florida,FL,127192.7853
2012,Florida,FL,133917.9867
2013,Florida,FL,154434.7723
2014,Florida,FL,169303.9658
2015,Florida,FL,185979.6321
2016,Florida,FL,202013.4725
2017,Florida,FL,218147.4261
2018,Florida,FL,233306.0533
2019,Florida,FL,243110.2225
2020,Florida,FL,264171.7875
2021,Florida,FL,322450.7898
2022,Florida,FL,381815.7492
2011,New York,NY,250790.399
2012,New York,NY,251669.4798
2013,New York,NY,261193.7354
2014,New York,NY,270007.2954
2015,New York,NY,281966.5287
2016,New York,NY,293067.1042
2017,New York,NY,311581.3381
2018,New York,NY,332151.7441
2019,New York,NY,346377.6528
2020,New York,NY,370362.2894
2021,New York,NY,409653.8993
2022,New York,NY,433784.1291
2011,Pennsylvania,PA,149264.1415
2012,Pennsylvania,PA,149749.5608
2013,Pennsylvania,PA,152292.87
2014,Pennsylvania,PA,153952.8897
2015,Pennsylvania,PA,158929.9487
2016,Pennsylvania,PA,163707.0909
2017,Pennsylvania,PA,170796.2891
2018,Pennsylvania,PA,177432.8444
2019,Pennsylvania,PA,187073.3849
2020,Pennsylvania,PA,205348.5067
2021,Pennsylvania,PA,225146.1673
2022,Pennsylvania,PA,243915.5854
2011,Illinois,IL,140024.1137
2012,Illinois,IL,136571.545
2013,Illinois,IL,147779.6157
2014,Illinois,IL,156076.6536
2015,Illinois,IL,162784.6526
2016,Illinois,IL,169629.1012
2017,Illinois,IL,178155.9634
2018,Illinois,IL,183369.1615
2019,Illinois,IL,188382.6641
2020,Illinois,IL,200742.1067
2021,Illinois,IL,220214.6798
2022,Illinois,IL,235109.7112
2011,Ohio,OH,106478.9005
2012,Ohio,OH,106923.9139
2013,Ohio,OH,111447.4446
2014,Ohio,OH,114675.3847
2015,Ohio,OH,121048.9443
2016,Ohio,OH,126327.6586
2017,Ohio,OH,133536.1301
2018,Ohio,OH,142122.79
2019,Ohio,OH,150122.6567
2020,Ohio,OH,167147.6094
2021,Ohio,OH,184248.2949
2022,Ohio,OH,202194.1068
2011,Georgia,GA,115495.5044
2012,Georgia,GA,118585.1237
2013,Georgia,GA,133313.0461
2014,Georgia,GA,143432.6418
2015,Georgia,GA,153367.7843
2016,Georgia,GA,162033.2433
2017,Georgia,GA,174494.828
2018,Georgia,GA,189751.3524
2019,Georgia,GA,201655.4239
2020,Georgia,GA,223597.8101
2021,Georgia,GA,270461.9689
2022,Georgia,GA,306265.8602
2011,North Carolina,NC,143875.0246
2012,North Carolina,NC,144540.4667
2013,North Carolina,NC,149082.0225
2014,North Carolina,NC,153063.0376
2015,North Carolina,NC,160742.2931
2016,North Carolina,NC,169568.1211
2017,North Carolina,NC,180424.7697
2018,North Carolina,NC,192136.3419
2019,North Carolina,NC,203876.7548
2020,North Carolina,NC,227264.549
2021,North Carolina,NC,269436.4621
2022,North Carolina,NC,306566.4137
2011,Michigan,MI,90165.90064
2012,Michigan,MI,96399.60348
2013,Michigan,MI,109527.6713
2014,Michigan,MI,117900.952
2015,Michigan,MI,126901.5979
