migration_year,current_state,prev_state,migration
2016,Alabama,Alabama,N/A
2016,Alabama,Alaska,576
2016,Alabama,Arizona,1022
2016,Alabama,Arkansas,495
2016,Alabama,California,6611
2016,Alabama,Colorado,2177
2016,Alabama,Connecticut,566
2016,Alabama,Delaware,0
2016,Alabama,District of Columbia ,97
2016,Alabama,Florida,16631
2016,Alabama,Georgia,23008
2016,Alabama,Hawaii,1695
2016,Alabama,Idaho,212
2016,Alabama,Illinois,3707
2016,Alabama,Indiana,1445
2016,Alabama,Iowa,671
2016,Alabama,Kansas,1261
2016,Alabama,Kentucky,1590
2016,Alabama,Louisiana,1508
2016,Alabama,Maine,151
2016,Alabama,Maryland,1903
2016,Alabama,Massachusetts,330
2016,Alabama,Michigan,2195
2016,Alabama,Minnesota,122
2016,Alabama,Mississippi,7602
2016,Alabama,Missouri,2746
2016,Alabama,Montana,294
2016,Alabama,Nebraska,33
2016,Alabama,Nevada,254
2016,Alabama,New Hampshire,0
2016,Alabama,New Jersey,812
2016,Alabama,New Mexico,826
2016,Alabama,New York,3047
2016,Alabama,North Carolina,6419
2016,Alabama,North Dakota,0
2016,Alabama,Ohio,2694
2016,Alabama,Oklahoma,1169
2016,Alabama,Oregon,498
2016,Alabama,Pennsylvania,1008
2016,Alabama,Rhode Island,0
2016,Alabama,South Carolina,2952
2016,Alabama,South Dakota,52
2016,Alabama,Tennessee,9960
2016,Alabama,Texas,7689
2016,Alabama,Utah,525
2016,Alabama,Vermont,0
2016,Alabama,Virginia,3535
2016,Alabama,Washington,677
2016,Alabama,West Virginia,42
2016,Alabama,Wisconsin,874
2016,Alabama,Wyoming,539
2016,Alaska,Alabama,423
2016,Alaska,Alaska,N/A
2016,Alaska,Arizona,1176
2016,Alaska,Arkansas,65
2016,Alaska,California,3593
2016,Alaska,Colorado,1401
2016,Alaska,Connecticut,0
2016,Alaska,Delaware,79
2016,Alaska,District of Columbia ,0
2016,Alaska,Florida,1100
2016,Alaska,Georgia,2208
2016,Alaska,Hawaii,561
2016,Alaska,Idaho,361
2016,Alaska,Illinois,715
2016,Alaska,Indiana,126
2016,Alaska,Iowa,142
2016,Alaska,Kansas,1831
2016,Alaska,Kentucky,703
2016,Alaska,Louisiana,273
2016,Alaska,Maine,147
2016,Alaska,Maryland,0
2016,Alaska,Massachusetts,44
2016,Alaska,Michigan,133
2016,Alaska,Minnesota,236
2016,Alaska,Mississippi,92
2016,Alaska,Missouri,281
2016,Alaska,Montana,832
2016,Alaska,Nebraska,0
2016,Alaska,Nevada,534
2016,Alaska,New Hampshire,32
2016,Alaska,New Jersey,270
2016,Alaska,New Mexico,198
2016,Alaska,New York,910
2016,Alaska,North Carolina,714
2016,Alaska,North Dakota,58
2016,Alaska,Ohio,100
2016,Alaska,Oklahoma,806
2016,Alaska,Oregon,1301
2016,Alaska,Pennsylvania,574
2016,Alaska,Rhode Island,0
2016,Alaska,South Carolina,281
2016,Alaska,South Dakota,370
2016,Alaska,Tennessee,243
2016,Alaska,Texas,1675
2016,Alaska,Utah,725
2016,Alaska,Vermont,86
2016,Alaska,Virginia,462
2016,Alaska,Washington,4888
2016,Alaska,West Virginia,0
2016,Alaska,Wisconsin,260
2016,Alaska,Wyoming,291
2016,Arizona,Alabama,894
2016,Arizona,Alaska,1946
2016,Arizona,Arizona,N/A
2016,Arizona,Arkansas,1205
2016,Arizona,California,64756
2016,Arizona,Colorado,11895
2016,Arizona,Connecticut,1596
2016,Arizona,Delaware,420
2016,Arizona,District of Columbia ,276
2016,Arizona,Florida,9306
2016,Arizona,Georgia,4242
2016,Arizona,Hawaii,2339
2016,Arizona,Idaho,2775
2016,Arizona,Illinois,13387
2016,Arizona,Indiana,5443
2016,Arizona,Iowa,2649
2016,Arizona,Kansas,3383
2016,Arizona,Kentucky,1105
2016,Arizona,Louisiana,679
2016,Arizona,Maine,355
2016,Arizona,Maryland,1467
2016,Arizona,Massachusetts,4028
